2,2,2,2,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,3888,3888,3888,3888,3888,3888,3888,3888,3888,3888,3888,3888,3888,3888,3888,3888,3888,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,3797,3797,3797,3797
2,2,2,2,2,2,2,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785
4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3992,3992,3992,3992,3992,3992,3992,3992,3992,3992,3992,3992,3992,3992,3992,3992,3992,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,3592,3592,3592
3,3,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,3152,3152,3152,3152,3152,3152,3152,3152,3152,3152,3152,3152,3152,3152,3152,3152,3152,3424
2,2,2,2,2,2,2,2,2,2,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,3967,3967,3967,3967,3967,3967,3967,3967,3967,3967,3967
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,3954,3954,3954,3954,3954,3954,3954
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804,3702,3702,3702,3702
2,2,2,2,2,2,2,2,2,2,2,2,2,2,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,3934,3934,3934,3934,3934,3934,3934
2,2,2,2,2,2,2,2,2,2,2,2,2,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,3975,3975,3975,3975,3975,3975,3975,3975
