4,4,4,4,4,2583,2583,2583,2583,2583,2583,2583,2583,2583,2583,2583,2583,2583,2583,2583,3945,3945,3945,3945,3945,3945,3945,3945,3945,3945,3945,3945,3945,3945,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928
2,2,2,2,2,2,2,2,2,2,3428,3428,3428,3428,3428,3428,3428,3428,3428,3428,3428,3428,3428,3428,3428,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,932,932,932,932,932,932,932,932,932,932,932,932,932,932,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,3933,3933,3933,3933,3933,3933,3933
2,2,2,2,2,2,2,2,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,102,102,102,102,102,102,102,102,102,102,102,102,102,102,2225,2225,2225,2225,2225,2225,2225,2225,2225,2225,2225,2225,2225,2225,2225,3995,3995,3995,3995,3995,3995,3995,3995,3995
1,1,1,1,1,2582,2582,2582,2582,2582,2582,2582,2582,2582,2582,2582,2582,2582,2582,2582,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929
2,2,2,2,2,2,2,2,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3762,3762,3762,3762,3762,3762,3762,3762,3762,3762,3762,3762,3762,3762,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,102,102,102,102,102,102,102,102,102,102,102,102,102,102,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,3990,3990,3990,3990,3990,3990,3990,3990,3990
1,1,1,1,1,1,1,1,1,1,1,1,3633,3633,3633,3633,3633,3633,3633,3633,3633,3633,3633,3633,3633,3633,3346,3346,3346,3346,3346,3346,3346,3346,3346,3346,3346,3346,3346,3346,3346,631,631,631,631,631,631,631,631,631,631,631,631,631,631,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,2979,2979,2979,2979,2979,2979,2979,2979,2979,2979,2979,2979,2979,2979,2979,3843,3843,3843,3843,3843
1,1,1,1,1,1,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,3941,3941,3941,3941,3941,3941,3941,3941,3941,3941,3941,3941,3941,3941,3941,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,3953,3953,3953,3953,3953,3953,3953,3953,3953,3953,3953
1,1,1,1,1,1,1,1,1,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3972,3972,3972,3972,3972,3972,3972,3972
1,1,1,1,1,1,1,1,1,1,1,1,1,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,508,508,508,508,508,508,508,508,508,508,508,508,508,508,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,3146,3146,3146,3146,3146,3146,3146,3146,3146,3146,3146,3146,3146,3146,3146,3795,3795,3795,3795
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3843,3843,3843,3843,3843,3843,3843,3843,3843,3843,3843,3843,3843,3843,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,581,581,581,581,581,581,581,581,581,581,581,581,581,581,3307,3307,3307,3307,3307,3307,3307,3307,3307,3307,3307,3307,3307,3307,3307,3633,3633,3633
