3,3,3,3,3,3,3,3,3,3,3,3,3,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,3791,3791,3791,3791,3791,3791,3791,3791,3791,3791,3791,3791,3791,3791
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,3991,3991,3991,3991,3991,3991,3991,3991,3991
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3858,3858,3858,3858,3858,3858,3858,3858,3858,3858,3858,3858,3858,3858,3858,3858,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929
2,2,2,2,2,2,2,2,2,2,2,2,2,2,3856,3856,3856,3856,3856,3856,3856,3856,3856,3856,3856,3856,3856,3856,3856,3856,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,3923,3923,3923,3923,3923,3923,3923,3923,3923,3923,3923,3923
3,3,3,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,3937,3937,3937,3937,3937,3937,3937
2,2,2,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302,3970,3970,3970,3970,3970,3970,3970
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,3991,3991,3991,3991,3991,3991,3991,3991,3991
3,3,3,3,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,3933,3933,3933,3933,3933,3933
3,3,3,3,3,3,3,3,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3506,3506
3,3,3,2165,2165,2165,2165,2165,2165,2165,2165,2165,2165,2165,2165,2165,2165,2165,2165,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,3974,3974,3974,3974,3974,3974,3974
2,2,2,2,2,2,2,2,2,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3498,3498,3498,3498,3498,3498,3498,3498,3498,3498,3498,3498,3498,3498,3498,3498,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,3387,3387,3387,3387,3387,3387,3387,3387,3387,3387,3387,3387,3387,3387,3387,3387,3425
2,2,2,2,2,2,2,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,3720,3720,3720,3720,3720,3720,3720,3720,3720,3720,3720,3720,3720,3720,3720,3720,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3597,3597,3597
3,3,3,3,3,3,3,3,3,3,3,3560,3560,3560,3560,3560,3560,3560,3560,3560,3560,3560,3560,3560,3560,3560,3560,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,3963,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,3987,3987,3987,3987,3987,3987,3987,3987,3987,3987
2,2,2,2,2,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,3890,3890,3890,3890,3890,3890,3890,3890,3890,3890,3890,3890,3890,3890,3890,3890,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,2774,2774,2774,2774,2774,2774,2774,2774,2774,2774,2774,2774,2774,2774,2774,2774,3827,3827,3827,3827,3827
3,3,3,3,3,3,3,3,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,3153,3153,3153,3153,3153,3153,3153,3153,3153,3153,3153,3153,3153,3153,3153,3153,3592,3592,3592
2,2,2,2,2,2,2,2,2,2,2,2,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3091,3091,3091,3091,3091,3091,3091,3091,3091,3091,3091,3091,3091,3091,3091,3091,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696
3,3,3,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,3988,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,3973,3973,3973,3973,3973,3973,3973,3973
2,2,2,2,2,2,2,2,2,2,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3347,3347,3347,3347,3347,3347,3347,3347,3347,3347,3347,3347,3347,3347,3347,3347,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573
3,3,3,3,3,3,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,2872,2872,2872,2872,2872,2872,2872,2872,2872,2872,2872,2872,2872,2872,2872,2872,3788,3788,3788,3788
3,3,3,3,3,2588,2588,2588,2588,2588,2588,2588,2588,2588,2588,2588,2588,2588,2588,2588,2588,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,2803,2803,2803,2803,2803,2803,2803,2803,2803,2803,2803,2803,2803,2803,2803,2803,3804,3804,3804,3804,3804
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968
2,2,2,2,2,2,2,2,2,2,2,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3205,3205,3205,3205,3205,3205,3205,3205,3205,3205,3205,3205,3205,3205,3205,3205,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,3648,3648,3648,3648,3648,3648,3648,3648,3648,3648,3648,3648,3648,3648,3648
3,3,3,3,3,3,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,3799,3799,3799,3799,3799
2,2,2,2,2,2,2,2,2,3261,3261,3261,3261,3261,3261,3261,3261,3261,3261,3261,3261,3261,3261,3261,3261,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,3309,3309,3309,3309,3309,3309,3309,3309,3309,3309,3309,3309,3309,3309,3309,3309,3465
2,2,2,2,2,2,2,2,2,2,2,2,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,3695,3695,3695,3695,3695,3695,3695,3695,3695,3695,3695,3695,3695,3695
3,3,3,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,3994,3994,3994,3994,3994,3994,3994,3994,3994,3994,3994,3994,3994,3994,3994,3994,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,3973,3973,3973,3973,3973,3973,3973,3973
